file,sql_blocks,exact_cmp,weak_assert,smoke_only,stmt_types,env_deps,score
functions-and-operators/string-functions.md,171,40,6,125,select:129|other:38|set:5|show:4,,257
partitioned-table.md,109,14,23,72,ddl:72|select:18|other:10|dml:7|set:5|show:3|explain:3,,160
optimizer-hints.md,84,0,3,81,select:50|other:17|explain:14|ddl:12|show:6|set:3,TIFLASH,87
functions-and-operators/tidb-functions.md,51,14,6,31,select:27|other:13|ddl:6|set:3|dml:3|txn:2|show:1,,85
character-set-and-collation.md,46,8,14,24,other:12|select:11|ddl:9|dml:8|set:4|show:3,,76
functions-and-operators/encryption-and-compression-functions.md,20,18,1,1,select:18|set:1|show:1,,57
constraints.md,35,1,19,15,ddl:17|dml:13|txn:9|set:4|other:2|select:2|show:1,,56
privilege-management.md,26,9,12,5,other:10|select:9|show:3|set:2|ddl:2,,56
system-variables.md,45,0,7,38,other:24|set:8|explain:6|select:4|ddl:3|txn:2|dml:2|show:2,,52
sql-plan-management.md,43,2,1,40,ddl:22|select:14|show:7|set:5|dml:4|other:4|explain:3,,48
functions-and-operators/miscellaneous-functions.md,18,14,0,4,select:16|ddl:3|dml:3|set:1,,46
role-based-access-control.md,31,3,4,24,set:12|other:8|ddl:4|show:4|select:3,,41
as-of-timestamp.md,16,8,8,0,select:8|txn:4|dml:2|ddl:1|set:1,,40
identify-slow-queries.md,23,8,0,15,select:12|set:6|admin:3|dml:1|other:1,,39
choose-index.md,32,0,6,26,other:18|explain:12|ddl:4|show:1,,38
sql-statements/sql-statement-create-sequence.md,15,9,5,1,select:9|ddl:4|dml:2,,38
sql-tuning-best-practice.md,18,3,13,2,explain:6|select:6|show:3|ddl:3|other:2,,37
sql-statements/sql-statement-create-index.md,25,0,10,15,other:11|ddl:10|select:4,,35
functions-and-operators/bit-functions-and-operators.md,12,11,0,1,select:12,,34
functions-and-operators/window-functions.md,11,11,0,0,select:11,,33
temporary-tables.md,15,5,8,2,select:5|ddl:4|dml:3|txn:2|set:1,,33
password-management.md,25,0,6,19,ddl:11|set:8|other:6,,31
sql-statements/sql-statement-split-region.md,31,0,0,31,other:25|ddl:3|show:3,,31
basic-sql-operations.md,29,0,0,29,ddl:14|show:5|dml:4|other:3|select:3,,29
functions-and-operators/information-functions.md,13,8,0,5,select:12|ddl:2|dml:2|other:1,,29
auto-increment.md,23,0,5,18,dml:12|ddl:9|other:8|select:7|show:2,,28
statistics.md,21,0,7,14,other:16|select:4|show:2|ddl:1,/tmp/|shell-steps,28
non-transactional-dml.md,25,0,1,24,other:14|select:7|dml:6|ddl:3|show:1,,26
sql-statements/sql-statement-rename-table.md,13,0,13,0,ddl:6|other:4|show:3,,26
user-defined-variables.md,13,5,2,6,set:8|select:6,,25
develop/dev-guide-optimize-sql.md,24,0,0,24,other:10|select:5|explain:5|ddl:4,shell-steps,24
sql-statements/sql-statement-explain.md,23,0,1,22,other:11|explain:8|ddl:3|show:2|dml:1,,24
sql-plan-replayer.md,19,0,4,15,other:15|select:2|ddl:1|dml:1|set:1,,23
sql-statements/sql-statement-alter-sequence.md,10,4,5,1,ddl:5|select:4|show:1,,23
sql-statements/sql-statement-alter-user.md,14,1,7,6,ddl:9|select:6|other:4,,23
foreign-key.md,14,0,8,6,ddl:8|other:6|show:1,,22
functions-and-operators/sequence-functions.md,8,7,0,1,select:7|ddl:1,,22
sql-statements/sql-statement-modify-column.md,16,0,6,10,ddl:12|dml:2|show:2,,22
sql-statements/sql-statement-savepoint.md,21,0,1,20,other:13|txn:4|dml:2|ddl:1|select:1,,22
tidb-read-staleness.md,9,4,5,0,select:4|dml:2|set:2|ddl:1,,22
cached-tables.md,20,0,1,19,other:11|ddl:5|show:2|explain:1|dml:1|select:1,,21
sql-statements/sql-statement-admin.md,18,0,3,15,admin:17|other:1,,21
blocklist-control-plan.md,20,0,0,20,other:8|dml:4|admin:4|explain:3|show:1,tiflash,20
dynamic-config.md,20,0,0,20,other:9|set:6|show:3|select:2,tiflash,20
explain-walkthrough.md,20,0,0,20,other:9|explain:7|ddl:3|show:2|dml:1|set:1,,20
sql-statements/sql-statement-create-user.md,13,0,7,6,ddl:9|other:4|select:4,,20
transaction-overview.md,16,0,4,12,txn:10|other:4|dml:3|set:2|ddl:2|select:2,,20
user-account-management.md,18,0,2,16,ddl:12|other:3|show:2|set:1,,20
views.md,12,1,6,5,ddl:4|other:3|select:2|dml:2|show:1,,20
explain-indexes.md,19,0,0,19,explain:9|other:9|ddl:2|dml:2,,19
read-historical-data.md,10,0,9,1,other:9|set:1,,19
tidb-resource-control-ru-groups.md,14,2,1,11,ddl:7|set:3|select:3|dml:1,,19
comment-syntax.md,8,5,0,3,select:8,,18
partition-pruning.md,18,0,0,18,ddl:9|explain:9|other:9|dml:1,,18
sql-statements/sql-statement-change-column.md,9,0,9,0,ddl:8|dml:1,,18
data-type-date-and-time.md,13,0,4,9,other:10|ddl:3,,17
develop/dev-guide-create-table.md,16,0,1,15,ddl:12|select:1|explain:1|other:1|show:1,TIFLASH|tiflash,17
develop/dev-guide-unstable-result-set.md,11,0,6,5,other:9|select:2,,17
metrics-schema.md,17,0,0,17,other:8|select:4|show:4|set:1,,17
placement-rules-in-sql.md,17,0,0,17,ddl:11|show:4|select:4,,17
